epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,0.65625,,0.65034419298172,,
0,99,,0.5625,,0.6669869422912598,,
0,149,,0.65625,,0.5944057703018188,,
0,199,,0.75,,0.611583411693573,,
0,249,,0.5625,,0.665730357170105,,
0,249,,,,,0.6625000238418579,0.6214317083358765
0,249,0.5978749990463257,,0.6614884734153748,,,
1,299,,0.71875,,0.5784892439842224,,
1,349,,0.6875,,0.6206718683242798,,
1,399,,0.65625,,0.5696081519126892,,
1,449,,0.71875,,0.5532370805740356,,
1,499,,0.6875,,0.6014906764030457,,
1,499,,,,,0.6965000033378601,0.5786146521568298
1,499,0.6642500162124634,,0.6147838234901428,,,
2,549,,0.6875,,0.5788173079490662,,
2,599,,0.625,,0.6095167994499207,,
2,649,,0.75,,0.6068763732910156,,
2,699,,0.59375,,0.6695476174354553,,
2,749,,0.75,,0.5338895916938782,,
2,749,,,,,0.6955000162124634,0.5755854845046997
2,749,0.6822500228881836,,0.5893336534500122,,,
3,799,,0.625,,0.6434897184371948,,
3,849,,0.6875,,0.5657955408096313,,
3,899,,0.71875,,0.6338860988616943,,
3,949,,0.59375,,0.6023640632629395,,
3,999,,0.6875,,0.5668497085571289,,
3,999,,,,,0.703000009059906,0.5632132291793823
3,999,0.7112500071525574,,0.5589852929115295,,,
4,1049,,0.71875,,0.5027732253074646,,
4,1099,,0.71875,,0.5025097727775574,,
4,1149,,0.65625,,0.6286128759384155,,
4,1199,,0.6875,,0.5003588199615479,,
4,1249,,0.59375,,0.7143586874008179,,
4,1249,,,,,0.7149999737739563,0.5556085705757141
4,1249,0.7278749942779541,,0.533627450466156,,,
5,1299,,0.6875,,0.5236319303512573,,
5,1349,,0.84375,,0.3724198043346405,,
5,1399,,0.75,,0.5075928568840027,,
5,1449,,0.65625,,0.765250563621521,,
5,1499,,0.71875,,0.5190513730049133,,
5,1499,,,,,0.7195000052452087,0.555362343788147
5,1499,0.750374972820282,,0.5040338635444641,,,
6,1549,,0.8125,,0.38271844387054443,,
6,1599,,0.84375,,0.40857142210006714,,
6,1649,,0.8125,,0.357656866312027,,
6,1699,,0.78125,,0.4111701548099518,,
6,1749,,0.71875,,0.48919370770454407,,
6,1749,,,,,0.7024999856948853,0.577563464641571
6,1749,0.7681249976158142,,0.4730721116065979,,,
7,1799,,0.8125,,0.4254607856273651,,
7,1849,,0.875,,0.29094451665878296,,
7,1899,,0.9375,,0.34737980365753174,,
7,1949,,0.875,,0.3187306225299835,,
7,1999,,0.84375,,0.37494438886642456,,
7,1999,,,,,0.7124999761581421,0.5793807506561279
7,1999,0.7962499856948853,,0.4297153949737549,,,
8,2049,,0.90625,,0.3256513476371765,,
8,2099,,0.78125,,0.3671751320362091,,
8,2149,,0.84375,,0.36791181564331055,,
8,2199,,0.75,,0.43339473009109497,,
8,2249,,0.8125,,0.3520592749118805,,
8,2249,,,,,0.6934999823570251,0.6293393969535828
8,2249,0.828000009059906,,0.3818945288658142,,,
9,2299,,0.71875,,0.4617327153682709,,
9,2349,,0.75,,0.4700826406478882,,
9,2399,,0.8125,,0.3700350522994995,,
9,2449,,0.8125,,0.4307785928249359,,
9,2499,,0.96875,,0.1947530210018158,,
9,2499,,,,,0.703000009059906,0.6586737036705017
9,2499,0.8533750176429749,,0.33209002017974854,,,
