epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.6875,,0.67152339220047,,
0,99,,,,0.5625,,0.6382078528404236,,
0,149,,,,0.6875,,0.6306827068328857,,
0,199,,,,0.71875,,0.5879214406013489,,
0,249,,,,0.625,,0.6438233852386475,,
0,249,,,,,,,0.637499988079071,0.6430783867835999
0,249,,,0.5733749866485596,,0.6723074316978455,,,
1,299,,,,0.53125,,0.6552085876464844,,
1,349,,,,0.625,,0.6348103880882263,,
1,399,,,,0.625,,0.6459319591522217,,
1,449,,,,0.6875,,0.6922259330749512,,
1,499,,,,0.78125,,0.506519079208374,,
1,499,,,,,,,0.6919999718666077,0.58729088306427
1,499,,,0.6470000147819519,,0.6275615096092224,,,
2,549,,,,0.625,,0.626373291015625,,
2,599,,,,0.65625,,0.5475618243217468,,
2,649,,,,0.65625,,0.6196170449256897,,
2,699,,,,0.6875,,0.5897764563560486,,
2,749,,,,0.8125,,0.5190426707267761,,
2,749,,,,,,,0.6934999823570251,0.5741416215896606
2,749,,,0.6768749952316284,,0.5901980400085449,,,
3,799,,,,0.5625,,0.6895119547843933,,
3,849,,,,0.625,,0.7971530556678772,,
3,899,,,,0.75,,0.5331422090530396,,
3,949,,,,0.78125,,0.5727016925811768,,
3,999,,,,0.71875,,0.5070225596427917,,
3,999,,,,,,,0.7475000023841858,0.5144235491752625
3,999,,,0.7118750214576721,,0.5540769100189209,,,
4,1049,,,,0.84375,,0.4889250695705414,,
4,1099,,,,0.875,,0.3966602087020874,,
4,1149,,,,0.6875,,0.675942063331604,,
4,1199,,,,0.75,,0.5312660932540894,,
4,1249,,,,0.6875,,0.6000373363494873,,
4,1249,,,,,,,0.7519999742507935,0.5021504759788513
4,1249,,,0.7388749718666077,,0.5271748900413513,,,
5,1299,,,,0.625,,0.6552179455757141,,
5,1349,,,,0.78125,,0.4208521246910095,,
5,1399,,,,0.59375,,0.5908259749412537,,
5,1449,,,,0.8125,,0.4062761068344116,,
5,1499,,,,0.625,,0.6808088421821594,,
5,1499,,,,,,,0.7515000104904175,0.493816614151001
5,1499,,,0.7451249957084656,,0.5082679390907288,,,
6,1549,,,,0.6875,,0.57892906665802,,
6,1599,,,,0.84375,,0.3929196298122406,,
6,1649,,,,0.8125,,0.4142323434352875,,
6,1699,,,,0.875,,0.3174472451210022,,
6,1749,,,,0.8125,,0.39783480763435364,,
6,1749,,,,,,,0.7620000243186951,0.48516082763671875
6,1749,,,0.7596250176429749,,0.497330904006958,,,
7,1799,,,,0.875,,0.5057862997055054,,
7,1849,,,,0.75,,0.4435387849807739,,
7,1899,,,,0.75,,0.5213197469711304,,
7,1949,,,,0.6875,,0.48182716965675354,,
7,1999,,,,0.84375,,0.44676700234413147,,
7,1999,,,,,,,0.7735000252723694,0.4645978510379791
7,1999,,,0.7618749737739563,,0.4834531843662262,,,
8,2049,,,,0.90625,,0.3737068474292755,,
8,2099,,,,0.84375,,0.36546510457992554,,
8,2149,,,,0.8125,,0.39581042528152466,,
8,2199,,,,0.71875,,0.4809851050376892,,
8,2249,,,,0.9375,,0.2706437408924103,,
8,2249,,,,,,,0.7825000286102295,0.4591873288154602
8,2249,,,0.7767500281333923,,0.46216389536857605,,,
9,2299,,,,0.9375,,0.2666466534137726,,
9,2349,,,,0.8125,,0.4960986077785492,,
9,2399,,,,0.75,,0.47724658250808716,,
9,2449,,,,0.75,,0.5565319061279297,,
9,2499,,,,0.6875,,0.5546749830245972,,
9,2499,,,,,,,0.7735000252723694,0.4684602618217468
9,2499,,,0.7796249985694885,,0.4610627293586731,,,
10,2549,,,,0.84375,,0.355869859457016,,
10,2599,,,,0.75,,0.4695683717727661,,
10,2649,,,,0.78125,,0.4454534947872162,,
10,2699,,,,0.71875,,0.472646027803421,,
10,2749,,,,0.78125,,0.5382105112075806,,
10,2749,,,,,,,0.7699999809265137,0.4618664085865021
10,2749,,,0.7851250171661377,,0.45052242279052734,,,
11,2799,,,,0.8125,,0.4105374217033386,,
11,2849,,,,0.8125,,0.44296547770500183,,
11,2899,,,,0.75,,0.3296237289905548,,
11,2949,,,,0.71875,,0.44777533411979675,,
11,2999,,,,0.8125,,0.36584386229515076,,
11,2999,,,,,,,0.800000011920929,0.4288528561592102
11,2999,,,0.7922499775886536,,0.4371953010559082,,,
12,3049,,,,0.75,,0.4933621287345886,,
12,3099,,,,0.8125,,0.38539958000183105,,
12,3149,,,,0.71875,,0.5532774329185486,,
12,3199,,,,0.875,,0.31686246395111084,,
12,3249,,,,0.875,,0.41193249821662903,,
12,3249,,,,,,,0.7730000019073486,0.4623805284500122
12,3249,,,0.7988749742507935,,0.42381158471107483,,,
13,3299,,,,0.9375,,0.2805928587913513,,
13,3349,,,,0.6875,,0.5505445599555969,,
13,3399,,,,0.84375,,0.3523927330970764,,
13,3449,,,,0.75,,0.4698171019554138,,
13,3499,,,,0.875,,0.31794673204421997,,
13,3499,,,,,,,0.8025000095367432,0.41567641496658325
13,3499,,,0.8023750185966492,,0.4179888069629669,,,
14,3549,,,,0.84375,,0.344873309135437,,
14,3599,,,,0.75,,0.4513506591320038,,
14,3649,,,,0.84375,,0.3759477138519287,,
14,3699,,,,0.59375,,0.7270221710205078,,
14,3749,,,,0.78125,,0.3830738961696625,,
14,3749,,,,,,,0.7960000038146973,0.4209118187427521
14,3749,,,0.8034999966621399,,0.41682273149490356,,,
15,3799,,,,0.8125,,0.43279072642326355,,
15,3849,,,,0.875,,0.3893824517726898,,
15,3899,,,,0.84375,,0.3634469509124756,,
15,3949,,,,0.78125,,0.39933326840400696,,
15,3999,,,,0.75,,0.4416215717792511,,
15,3999,,,,,,,0.7944999933242798,0.4207645654678345
15,3999,,,0.8050000071525574,,0.4129856824874878,,,
16,4049,,,,0.96875,,0.20555008947849274,,
16,4099,,,,0.84375,,0.4832456409931183,,
16,4149,,,,0.65625,,0.5466782450675964,,
16,4199,,,,0.8125,,0.35132646560668945,,
16,4249,,,,0.65625,,0.5729374885559082,,
16,4249,,,,,,,0.7599999904632568,0.48261702060699463
16,4249,,,0.8169999718666077,,0.3947910964488983,,,
17,4299,,,,0.875,,0.2701197564601898,,
17,4349,,,,0.75,,0.5303457379341125,,
17,4399,,,,0.9375,,0.2597608268260956,,
17,4449,,,,0.8125,,0.41545364260673523,,
17,4499,,,,0.875,,0.3278602063655853,,
17,4499,,,,,,,0.8040000200271606,0.41784825921058655
17,4499,,,0.8174999952316284,,0.38915616273880005,,,
18,4549,,,,0.6875,,0.5433042645454407,,
18,4599,,,,0.75,,0.3816983997821808,,
18,4649,,,,0.8125,,0.27593034505844116,,
18,4699,,,,0.75,,0.5614513754844666,,
18,4749,,,,0.78125,,0.40944817662239075,,
18,4749,,,,,,,0.8100000023841858,0.40634414553642273
18,4749,,,0.8206250071525574,,0.38385796546936035,,,
19,4799,,,,0.90625,,0.2794407606124878,,
19,4849,,,,0.9375,,0.2886742353439331,,
19,4899,,,,0.84375,,0.45426368713378906,,
19,4949,,,,0.6875,,0.7429651618003845,,
19,4999,,,,0.84375,,0.34768766164779663,,
19,4999,,,,,,,0.8034999966621399,0.41066280007362366
19,4999,,,0.8305000066757202,,0.37047842144966125,,,
20,5049,,,,0.84375,,0.4450624883174896,,
20,5099,,,,0.9375,,0.21067814528942108,,
20,5149,,,,0.6875,,0.6308021545410156,,
20,5199,,,,0.875,,0.38618406653404236,,
20,5249,,,,0.90625,,0.2720488905906677,,
20,5249,,,,,,,0.8090000152587891,0.3995848298072815
20,5249,,,0.828000009059906,,0.377220094203949,,,
21,5299,,,,0.84375,,0.32910585403442383,,
21,5349,,,,0.9375,,0.24740585684776306,,
21,5399,,,,0.8125,,0.42777347564697266,,
21,5449,,,,0.8125,,0.4993913173675537,,
21,5499,,,,0.78125,,0.496815949678421,,
21,5499,,,,,,,0.8245000243186951,0.3999514579772949
21,5499,,,0.8326249718666077,,0.36441871523857117,,,
22,5549,,,,0.75,,0.39411449432373047,,
22,5599,,,,0.78125,,0.39302700757980347,,
22,5649,,,,0.9375,,0.2320975512266159,,
22,5699,,,,0.8125,,0.32744789123535156,,
22,5749,,,,0.6875,,0.6266288161277771,,
22,5749,,,,,,,0.8195000290870667,0.4125778079032898
22,5749,,,0.8326249718666077,,0.35699692368507385,,,
23,5799,,,,0.90625,,0.2678707242012024,,
23,5849,,,,0.875,,0.3750673830509186,,
23,5899,,,,0.875,,0.26780399680137634,,
23,5949,,,,0.90625,,0.28128185868263245,,
23,5999,,,,0.75,,0.41836100816726685,,
23,5999,,,,,,,0.8044999837875366,0.41675812005996704
23,5999,,,0.8347499966621399,,0.3531280755996704,,,
24,6049,,,,0.84375,,0.35079094767570496,,
24,6099,,,,0.875,,0.3146391808986664,,
24,6149,,,,0.84375,,0.40673625469207764,,
24,6199,,,,0.9375,,0.26651373505592346,,
24,6249,,,,0.875,,0.3490547239780426,,
24,6249,,,,,,,0.8184999823570251,0.40176665782928467
24,6249,,,0.8462499976158142,,0.34532052278518677,,,
25,6299,,,,0.78125,,0.40393945574760437,,
25,6349,,,,0.84375,,0.28800255060195923,,
25,6399,,,,0.90625,,0.286459356546402,,
25,6449,,,,0.78125,,0.4882890582084656,,
25,6499,,,,0.8125,,0.4041489362716675,,
25,6499,,,,,,,0.8115000128746033,0.4005590081214905
25,6499,,,0.8443750143051147,,0.3446119427680969,,,
26,6549,,,,0.9375,,0.2766946256160736,,
26,6599,,,,0.8125,,0.3328215479850769,,
26,6649,,,,0.84375,,0.37785041332244873,,
26,6699,,,,0.78125,,0.35477373003959656,,
26,6749,,,,0.875,,0.3173201382160187,,
26,6749,,,,,,,0.8220000267028809,0.38654154539108276
26,6749,,,0.843874990940094,,0.3432060182094574,,,
27,6799,,,,0.9375,,0.2071336954832077,,
27,6849,,,,0.9375,,0.24974754452705383,,
27,6899,,,,0.9375,,0.2177451252937317,,
27,6949,,,,0.875,,0.2946283519268036,,
27,6999,,,,0.9375,,0.24145664274692535,,
27,6999,,,,,,,0.8209999799728394,0.38739922642707825
27,6999,,,0.8493750095367432,,0.3315584361553192,,,
28,7049,,,,0.9375,,0.1769147366285324,,
28,7099,,,,0.90625,,0.28285399079322815,,
28,7149,,,,0.875,,0.3815554976463318,,
28,7199,,,,0.84375,,0.29694435000419617,,
28,7249,,,,0.84375,,0.34400704503059387,,
28,7249,,,,,,,0.8080000281333923,0.4453575015068054
28,7249,,,0.8565000295639038,,0.31921470165252686,,,
29,7299,,,,0.78125,,0.3709785044193268,,
29,7349,,,,0.90625,,0.2868691086769104,,
29,7399,,,,0.875,,0.3245103359222412,,
29,7449,,,,0.84375,,0.2719343304634094,,
29,7499,,,,0.9375,,0.19783206284046173,,
29,7499,,,,,,,0.8230000138282776,0.40168559551239014
29,7499,,,0.8568750023841858,,0.3216646611690521,,,
30,7500,0.8165000081062317,0.4173945188522339,,,,,,
